2026-05-21 08:04:51, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-05-21 08:05:16, EXEC, v:1, k:ed@triangulo, mode:FULL, rate:100, size:61
2026-05-21 08:05:16, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:06:47, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:12:27, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:15:51, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-05-21 08:15:52, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-05-21 08:18:39, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:23:49, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:29:09, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:33:09, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-21 08:36:20, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-05-21 08:36:45, MOVE, v:1, k:ed@queimada, mode:PICK
2026-05-21 08:39:49, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 08:45:48, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 08:51:12, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 08:54:25, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:01:19, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:04:02, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:09:11, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:13:22, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:20:12, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:26:14, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:29:45, MOVE, v:1, k:ed@queimada, mode:BACK
2026-05-21 09:30:18, MOVE, v:1, k:ed@queimada, mode:PICK
2026-05-21 09:34:42, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:39:52, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:42:28, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-21 09:45:14, MOVE, v:1, k:ed@queimada, mode:BACK
2026-05-21 10:09:48, MOVE, v:1, k:ed@eh_primo, mode:PICK
2026-05-21 10:11:04, MOVE, v:1, k:ed@eh_primo, mode:BACK
2026-05-21 10:11:05, MOVE, v:1, k:ed@eh_primo, mode:PICK
2026-05-21 10:13:37, MOVE, v:1, k:ed@eh_primo, mode:PICK
2026-05-21 10:17:59, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:21:17, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:23:48, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:35:20, MOVE, v:1, k:ed@eh_primo, mode:BACK
2026-05-21 10:37:03, MOVE, v:1, k:ed@eh_primo, mode:PICK
2026-05-21 10:37:08, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:43:25, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:48:18, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:51:28, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 10:58:04, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-21 11:02:22, MOVE, v:1, k:ed@eh_primo, mode:EDIT
