2026-04-15_11-54-59,0,shell.go:2026-04-15_11-54-59
2026-04-20_10-43-33,0,shell.go:2026-04-20_10-43-33
2026-04-20_10-46-00,0,shell.go:2026-04-20_10-46-00
2026-04-20_11-18-44,28,shell.go:2026-04-20_11-18-44
2026-04-20_11-26-38,42,shell.go:2026-04-20_11-26-38
2026-04-20_11-37-44,57,shell.go:2026-04-20_11-37-44
2026-04-20_11-42-38,71,shell.go:2026-04-20_11-42-38
2026-04-20_11-55-13,0,shell.go:2026-04-20_11-55-13
2026-04-20_11-55-30,85,shell.go:2026-04-20_11-55-30
2026-04-20_12-07-02,0,shell.go:2026-04-20_12-07-02
2026-04-20_12-07-18,85,shell.go:2026-04-20_12-07-18
2026-04-20_12-10-02,100,shell.go:2026-04-20_12-10-02
2026-04-20_12-10-55,100,manipulacao.go:2026-04-20_12-10-55
